Source,Target,Weight,Type
HenryLivingstonJr_The Procession,HenryLivingstonJr_Dialogue,13,undirected
HenryLivingstonJr_The Procession,HenryLivingstonJr_Letter Sent to Master Timmy Dwight,6,undirected
HenryLivingstonJr_The Procession,HenryLivingstonJr_The Vine & Oak A Fable,14,undirected
HenryLivingstonJr_The Procession,HenryLivingstonJr_To My Little Niece Anne Duyckinck,1,undirected
HenryLivingstonJr_The Procession,HenryLivingstonJr_To My Little Niece Sally Livingston,2,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_A Song,5,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_A Trip to Saratoga,2,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_Lines accompanying a Bunch of Flowers,3,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_Lines written after a season of Yellow Fever,18,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_Lines Written After a Snow-storm,12,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_Old Dobbin,12,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_Old Santeclaus,7,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_The Mischievous Muse,7,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_The Water Drinker,1,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_To Petrosa,4,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_To the Fashionable Part of my Young Countrywomen,9,undirected
HenryLivingstonJr_The Vine & Oak A Fable,ClementClarkeMoore_To the Nymphs of Mount Harmony,25,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_Acrostic Eliza Hughes,2,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,13,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_Apostrophe,8,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_Catharine Breese Livingston,8,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_Dialogue,1,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_Epithalamium A Marriage Poem,1,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,6,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_The Dance,6,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_The IX Ode to Horace,3,undirected
HenryLivingstonJr_The Vine & Oak A Fable,HenryLivingstonJr_The Procession,14,undirected
HenryLivingstonJr_The Vine & Oak A Fable,MooreLivingstone_A Visit from St Nicholas,4,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,3,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_Acrostic Eliza Hughes,6,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_Catharine Breese Livingston,9,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_The Procession,1,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_To My Little Niece Sally Livingston,13,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_To the Memory of Henry Welles Livingston,13,undirected
HenryLivingstonJr_To My Little Niece Anne Duyckinck,HenryLivingstonJr_To the Memory of Sarah Livingston,1,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,ClementClarkeMoore_Old Dobbin,1,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,ClementClarkeMoore_To the Nymphs of Mount Harmony,3,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Acrostic Eliza Hughes,3,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Apostrophe,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Careless Philosphers Soliloquy,6,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Catharine Breese Livingston,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_Hiding Place,4,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_The Procession,2,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,13,undirected
HenryLivingstonJr_To My Little Niece Sally Livingston,HenryLivingstonJr_To the Memory of Sarah Livingston,28,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,ClementClarkeMoore_Lines sent to a Young Lady, with a Pair of Gloves,2,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,ClementClarkeMoore_The Water Drinker,1,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,ClementClarkeMoore_To the Nymphs of Mount Harmony,7,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_Acrostic Eliza Hughes,6,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,5,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,13,undirected
HenryLivingstonJr_To the Memory of Henry Welles Livingston,HenryLivingstonJr_To the Memory of Sarah Livingston,11,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_Old Dobbin,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_On seeing my Name written in the sand of the sea-shore,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_To a Young Lady, on her Birth-Day,3,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,ClementClarkeMoore_To the Nymphs of Mount Harmony,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_A Tenant of Mrs Van Kleeck,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_An Elegy on the Death of Montgomery Tappen,5,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Apostrophe,27,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Careless Philosphers Soliloquy,12,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Dialogue,7,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Epithalamium A Marriage Poem,20,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Hiding Place,11,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_Letter Sent to Master Timmy Dwight,5,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_On My Sister Joanna Entrance Into Her 33rd Year,2,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To My Little Niece Anne Duyckinck,1,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To My Little Niece Sally Livingston,28,undirected
HenryLivingstonJr_To the Memory of Sarah Livingston,HenryLivingstonJr_To the Memory of Henry Welles Livingston,11,undirected
MooreLivingstone_A Visit from St Nicholas,ClementClarkeMoore_A Trip to Saratoga,14,undirected
MooreLivingstone_A Visit from St Nicholas,ClementClarkeMoore_The Pig and the Rooster,1,undirected
MooreLivingstone_A Visit from St Nicholas,ClementClarkeMoore_To the Nymphs of Mount Harmony,1,undirected
MooreLivingstone_A Visit from St Nicholas,HenryLivingstonJr_The Crane & The Fox, a Fable,21,undirected
MooreLivingstone_A Visit from St Nicholas,HenryLivingstonJr_The Vine & Oak A Fable,4,undirected
